TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,IS_NULLABLE,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,DATETIME_PRECISION
DB1,dbo,table_Ln,column_tm_ie_XF,1,NO,uniqueidentifier,,,,,
DB1,dbo,table_Ln,column_D_ae_IQ,2,NO,uniqueidentifier,,,,,
DB1,dbo,table_Ln,column_rI_oc_EH,3,NO,uniqueidentifier,,,,,
DB1,dbo,table_Ln,column__uI_KX,4,NO,uniqueidentifier,,,,,
DB1,dbo,table_Ln,column_Nm_is_WP,5,YES,varchar,,,500,500,
DB1,dbo,table_Ln,column_m_un_YT,6,YES,varchar,,,500,500,
DB1,dbo,table_Ln,column_fi_ae_JN,7,YES,datetime,,,,,3
DB1,dbo,table_Ln,column_ae_ei_FH,8,YES,varchar,,,10,10,
DB1,dbo,table_Ln,column_fe_ae_IG,9,YES,datetime,,,,,3
DB1,dbo,table_Ln,column_ub_tm_KT,10,YES,varchar,,,50,50,
DB1,dbo,table_Ln,column_iP_ee_DJ,11,YES,numeric,28,2,,,
DB1,dbo,table_Ln,column_ea_eo_PV,12,YES,numeric,28,2,,,
DB1,dbo,table_Ln,column_I_li_OR,13,YES,varchar,,,50,50,
DB1,dbo,table_Ln,column_si_rc_JS,14,YES,datetime,,,,,3
DB1,dbo,table_Ln,column__I_DP,15,YES,varchar,,,100,100,
DB1,dbo,table_Ln,column_in_ei_YR,16,YES,uniqueidentifier,,,,,
DB1,dbo,table_Ln,column_ns_om_MS,17,YES,varchar,,,2000,2000,
DB1,dbo,table_Ln,column_eO_ra_PB,18,NO,datetime,,,,,3
DB1,dbo,table_Ln,column_eB_ra_XV,19,NO,uniqueidentifier,,,,,
DB1,dbo,table_Ln,column_eO_pa_GV,20,YES,datetime,,,,,3
DB1,dbo,table_Ln,column_eB_pa_BQ,21,YES,uniqueidentifier,,,,,
DB1,dbo,table_Ln,column_Tp_nu_SB,22,YES,varchar,,,50,50,
DB1,dbo,table_Ln,column_ec_tm_ZG,23,YES,varchar,,,200,200,
DB1,dbo,table_Ln,column_ie_rc_PX,24,YES,varchar,,,7,7,
DB1,dbo,table_Ln,column_lt_ac_JA,25,YES,varchar,,,50,50,
DB1,dbo,table_Ln,column_tv_ne_BC,26,YES,varchar,,,255,255,
DB1,dbo,table_Ln,column_ey_eo_EG,27,YES,uniqueidentifier,,,,,
DB1,dbo,table_Ln,column_tS_ea_EV,28,YES,uniqueidentifier,,,,,
DB1,dbo,table_Ln,column_ro_cn_ZU,29,YES,varchar,,,15,15,
DB1,dbo,table_Ln,column_e_ee_SD,30,YES,bit,,,,,
DB1,dbo,table_Ln,column_tA_ea_AF,31,YES,numeric,28,4,,,
DB1,dbo,table_Ln,column_ae_B7_QP,32,YES,datetime,,,,,3
DB1,dbo,table_Ln,column_Pn_oa_MX,33,YES,numeric,28,4,,,
