DatabaseName,TableName,ColumnName,ColumnFormat,ColumnTitle,ColumnType,ColumnUDTName,ColumnLength,DefaultValue,Nullable,CommentString,DecimalTotalDigits,DecimalFractionalDigits,ColumnId,ObjectType
db1,table_K,column_OQ_PO,YY/MM/DD,,DA  ,,4,,Y ,,,,1034,VIEW
db1,table_K,column_QR_RS,X(16),,CF  ,,16,,Y ,,,,1037,VIEW
db1,table_K,column_WZ_MK,X(9),,CF  ,,9,,Y ,,,,1038,VIEW
db1,table_K,column_SM_QM,X(13),,CF  ,,13,,Y ,,,,1039,VIEW
db1,table_K,column_TQ_BL,YY/MM/DD,,DA  ,,4,,Y ,,,,1042,VIEW
db1,table_K,column_HH_XW,-(10)9,,I   ,,4,,Y ,,,,1043,VIEW
db1,table_K,column_NM_PZ,--(12).9(8),,D   ,,16,,Y ,,20,8,1044,VIEW
db1,table_K,column_UP_TL,X(3),,CF  ,,3,,Y ,,,,1046,VIEW
db1,table_K,column_XF_OU,-(5)9,,I2  ,,2,,Y ,,,,1047,VIEW
db1,table_K,column_UP_HR,X(12),,CV  ,,12,,Y ,,,,1048,VIEW
db1,table_K,column_XM_QB,-(5)9,,I2  ,,2,,Y ,,,,1049,VIEW
db1,table_K,column_PT_TH,X(1),,CF  ,,1,,Y ,,,,1051,VIEW
db1,table_K,column_GB_TH,X(1),,CV  ,,1,,Y ,,,,1052,VIEW
db1,table_K,column_WX_SE,X(1),,CF  ,,1,,Y ,,,,1053,VIEW
db1,table_K,column_KW_WH,YY/MM/DD,,DA  ,,4,,Y ,,,,1054,VIEW
db1,table_K,column_TJ_QA,-(10)9,,I   ,,4,,Y ,,,,1055,VIEW
db1,table_K,column_VK_XR,X(3),,CF  ,,3,,Y ,,,,1057,VIEW
db1,table_K,column_XG_VZ,-(10)9,,I   ,,4,,Y ,,,,1058,VIEW
db1,table_K,column_XT_MW,X(1),,CF  ,,1,,Y ,,,,1059,VIEW
db1,table_K,column_CT_ZV,-(10)9,,I   ,,4,,Y ,,,,1060,VIEW
db1,table_K,column_ZR_TI,X(3),,CF  ,,3,,Y ,,,,1061,VIEW
db1,table_K,column_AE_ND,--(12).9(8),,D   ,,16,,Y ,,20,8,1063,VIEW
db1,table_K,column_LM_WK,--(12).9(8),,D   ,,16,,Y ,,20,8,1064,VIEW
db1,table_K,column_MN_AD,--(12).9(8),,D   ,,16,,Y ,,20,8,1065,VIEW
db1,table_K,column_EV_EO,-(10)9,,I   ,,4,,Y ,,,,1066,VIEW
db1,table_K,column_FN_RN,X(6),,CF  ,,6,,Y ,,,,1067,VIEW
db1,table_K,column_XG_DI,X(4),,CF  ,,4,,Y ,,,,1069,VIEW
db1,table_K,column_QL_WM,-(10)9,,I   ,,4,,Y ,,,,1070,VIEW
db1,table_K,column_GH_TV,-(10)9,,I   ,,4,,Y ,,,,1071,VIEW
db1,table_K,column_NE_GQ,X(1),,CF  ,,1,,Y ,,,,1072,VIEW
db1,table_K,column_SE_WU,-(10)9,,I   ,,4,,Y ,,,,1073,VIEW
db1,table_K,column_UY_CL,9,,D   ,,4,,Y ,,6,0,1074,VIEW
db1,table_K,column_EF_QK,-(10)9,,I   ,,4,,Y ,,,,1075,VIEW
db1,table_K,column_RP_QR,YY/MM/DD,,DA  ,,4,,Y ,,,,1076,VIEW
db1,table_K,column_OA_CU,-(10)9,,I   ,,4,,Y ,,,,1077,VIEW
db1,table_K,column_CQ_IZ,-(10)9,,I   ,,4,,Y ,,,,1078,VIEW
db1,table_K,column_YO_FN,-(10)9,,I   ,,4,,Y ,,,,1056,VIEW
db1,table_K,column_OI_SH,-(10)9,,I   ,,4,,Y ,,,,1040,VIEW
db1,table_K,column_MQ_QM,X(6),,CV  ,,6,,Y ,,,,1032,VIEW
db1,table_K,column_TV_ND,X(6),,CV  ,,6,,Y ,,,,1028,VIEW
db1,table_K,column_SP_DF,X(6),,CV  ,,6,,Y ,,,,1026,VIEW
db1,table_K,column_NL_KO,X(6),,CV  ,,6,,Y ,,,,1025,VIEW
db1,table_K,column_QW_KH,X(1),,CF  ,,1,,Y ,,,,1062,VIEW
db1,table_K,column_ET_YT,X(3),,CF  ,,3,,Y ,,,,1045,VIEW
db1,table_K,column_NF_JY,X(1),,CF  ,,1,,Y ,,,,1036,VIEW
db1,table_K,column_TD_UA,X(1),,CF  ,,1,,Y ,,,,1031,VIEW
db1,table_K,column_YI_CK,X(1),,CF  ,,1,,Y ,,,,1029,VIEW
db1,table_K,column_EG_NQ,X(7),,CV  ,,7,,Y ,,,,1027,VIEW
db1,table_K,column_CR_CE,-(10)9,,I   ,,4,,Y ,,,,1068,VIEW
db1,table_K,column_BC_UQ,X(2),,CV  ,,2,,Y ,,,,1050,VIEW
